id,Themes,Symptoms
942592182543880192,a,d
942593903236124672,a,d
942594826566094849,a,d
942595529367834624,a,d
942597589807050752,a,d
942598656951242753,a,d
942600795102511105,a,d
942602016915935232,a,c
942603201848729600,a,d
942604872557481985,a,d
942605541301538816,a,d
942605890800189440,a,a
942607059975106560,a,d
942607441992257538,a,d
942607466055000064,a,d
942607960232079360,a,d
942609630240346113,a,d
942610265236963333,a,d
942612292625190912,a,d
942612694456242176,a,d
942614553895903233,a,d
942614568546852864,a,d
942614877134258176,a,d
942615159259975687,a,d
942616124256120832,a,d
942617044540903424,a,d
942617692187561985,a,a
942618619678162950,a,d
942618624908496896,a,c
942619071304159235,a,d
942619207530962945,a,d
942619290754342912,a,d
942619919014879232,a,d
942620043174645760,a,d
942620240344637440,a,d
942952699728769025,a,b
942956132607365120,a,d
942957228184821760,a,d
942957566920978433,a,a
942958911375765504,a,d
942963450275344384,a,d
942963991885774848,a,a
942966032054046720,a,a
942966035153637377,a,d
942966071241379840,a,d
942966968054943744,a,d
942967279230312449,a,d
942968877448867842,a,d
942969856764399617,a,d
942970018370859009,a,d
942970254266904581,a,c
942971311604862976,a,d
942971977123299328,a,a
942972531073601536,a,d
942973043168735232,a,d
942973098311274496,a,d
942973240695230464,a,d
942973878883815424,a,d
942976801307086848,a,d
942977375872184321,a,d
942977421548154880,a,d
942978669475229696,a,d
942978868528459777,a,a
942979702779731968,a,d
942979963548037120,a,d
942979998981423104,a,d
942980352825466880,a,d
942980385352376320,a,d
942981149718188032,a,d
942981234984128513,a,d
942981595685969920,a,d
942981798379782151,a,d
942982243148029953,a,a
942982278698893317,a,d
942982407225008128,a,d
942982676780380160,a,d
943528751203344384,a,d
943530979087482881,a,d
943531603871092736,a,d
943536713330241537,a,c
943539519596498944,a,a
943542586995769346,a,d
943549712845692930,a,d
943560124920188929,a,d
943563418241347584,a,d
943563569009963009,a,d
943564183135666176,a,d
943569187083051008,a,d
943569383099473920,a,b
943569486900232192,a,d
943578974805987334,a,d
943581743189241856,a,d
943584480622673921,a,d
943589641957072902,a,b
943592070106804224,a,d
943593953802309632,a,d
943596954063458304,a,d
943603617902325760,a,d
943604110326104064,a,a
943606706814312448,a,d
943611336315072513,a,d
943615248640208896,a,d
943615286917390337,a,d
943617859707695109,a,d
943619774461939715,a,d
943621802756059136,a,d
943622144306577408,a,a
943624656879267842,a,b
943625437351202816,a,a
943634038530637826,a,d
943635192857747456,a,d
943635212717748224,a,d
943637481509064704,a,d
943637878676049920,a,d
943638175246966784,a,d
943638427278413825,a,d
943638834176249857,a,a
943639445181431808,a,d
943641264582463490,a,d
943642977112592384,a,d
943643962010718208,a,d
943644003010007040,a,d
943644259261079553,a,d
943645307199545345,a,d
943645448870428674,a,d
943646185767743488,a,a
943646623317614592,a,d
943647564905308160,a,d
943648943140950017,a,b
943651157272072192,a,d
943652195492417536,a,d
943653006117044226,a,d
943655184940654592,a,d
943656018013315072,a,d
943656302630359042,a,d
943656806731124736,a,d
943656876834787329,a,d
943659366171009028,a,d
943661690217992192,a,d
943663561762594817,a,d
943666788054728704,a,d
943668173450174470,a,d
943668282107879424,a,b
943670388252381184,a,a
943670718507646977,a,d
943671789028290560,a,d
943671907257389056,a,d
943672211218591744,a,d
943673571355889664,a,d
943673942480510977,a,d
943674243358785536,a,d
943674714106617856,a,d
943675748375769089,a,a
943676278695178240,a,d
943676519871926273,a,d
943677387283288065,a,d
943677893166747648,a,d
943678807537520643,a,d
943679010785153024,a,d
943679427409530880,a,a
943679451635822592,a,a
943680166110420992,a,d
943680460156219392,a,d
943680874436014083,a,d
943680899828408323,a,d
943680919449325568,a,d
943681659249053696,a,d
943681748822642693,a,d
943682095620198400,a,d
943682252038434817,a,d
943683163246792704,a,a
943684312871964673,a,d
943684920517554176,a,d
943685569892311040,a,d
943685663358152704,a,d
943685907215011841,a,d
943686318047055872,a,d
943687053665021952,a,a
943688066811666432,a,d
943688067927470080,a,d
943688691469385729,a,d
943688975088316416,a,c
943689936707969032,a,d
943690170930429952,a,d
943690680240623617,a,d
943691389124206592,a,a
943691596066893824,a,d
943691969498316800,a,d
943692166748164096,a,d
943692329180913664,a,d
943692875463872512,a,d
943693119089934336,a,d
943693211004006401,a,d
943693516634550272,a,d
943693668921282560,a,d
943693904205017088,a,d
943693991949799424,a,d
943694676896485376,a,d
943694842978238464,a,d
943694974310285312,a,d
943695095748005889,a,d
943695315693199360,a,d
943695354599534592,a,d
943695683386830849,a,d
943696454715101184,a,d
943696734521364480,a,d
943696873923272705,a,b
943697153431625728,a,d
943697174214397952,a,d
943697443522269184,a,d
962870784682315781,a,d
963264350021496833,a,d
963280940805054464,a,d
963287685879222272,a,d
942591262280028160,b,d
942614185611071488,b,d
942615830579302407,b,d
942620263509762048,b,d
942960513792794624,b,d
942962961114697728,b,d
942968262257790976,b,d
942969207670607874,b,a
942970309182918661,b,d
942972477256425472,b,d
943535075949531136,b,d
943555386963001344,b,d
943595000050327552,b,d
943627325786206208,b,a
943639441670885381,b,d
943639601972940800,b,d
943647676133933067,b,d
943655226690756608,b,d
943661239670108163,b,a
943664912059990016,b,d
943666737035251714,b,d
943671511696789504,b,d
943673763979235328,b,d
943677794302689282,b,b
943687886398001152,b,d
943688157702377472,b,d
943692112603869185,b,d
943692150738440192,b,d
943692341428318209,b,d
943694595472396289,b,d
943695420307406849,b,d
943695675606405120,b,d
943697183550951424,b,d
964746676832538624,b,d
941964891283341313,c,d
942591481885417472,c,d
942599375414611968,c,d
942618677786050560,c,a
942656801899798528,c,a
942977526779006976,c,d
943591696167776257,c,c
943606365020475393,c,d
943644587775668224,c,d
943650780158087168,c,d
943653167966965760,c,d
943668466116120577,c,d
943690753456386048,c,d
943690757927587841,c,d
943690762998476801,c,d
943691081295761409,c,d
943693385835188224,c,d
944108875485274113,c,d
944455692429250561,c,d
946321482367377408,c,d
947032764188065792,c,d
948457296333623301,c,d
948467285920010240,c,d
948733490287271936,c,d
948848735907401729,c,d
948966796295659521,c,d
949058711598678016,c,a
963281429978329088,c,d
942604352887361536,d,a
942607109530714112,d,d
942607839889063936,d,d
942608396821331968,d,a
942617916016676864,d,d
942619723770015745,d,d
942620342836715520,d,d
942957147201122304,d,d
942960772539469825,d,a
942966496900321280,d,d
942968102249263104,d,d
942973202678145025,d,d
942977697097113608,d,d
943526186071871490,d,d
943544914717048833,d,d
943565673510215680,d,d
943585788733902848,d,d
943598502252306435,d,d
943600964724027397,d,d
943602754307657728,d,d
943607597235654657,d,d
943612950321008645,d,d
943613157293154304,d,d
943617630639935488,d,d
943621412857745408,d,d
943632630309941249,d,d
943635304161988608,d,d
943637134178770945,d,d
943641273868701697,d,d
943668590049361920,d,d
943674491124756482,d,d
943681158595964928,d,d
943686801763524611,d,d
943689994551615488,d,d
943690190031335424,d,a
943691620612001793,d,d
943691989354270720,d,d
963096792010178561,d,d
963679199872643073,d,d
964524771995201537,d,d
966176774961991681,d,d
942535874629292032,e,d
942766590252240896,e,d
942948202474549248,e,d
943108916593901570,e,d
943582227094556672,e,d
943646416794202113,e,d
943650738751922176,e,d
943662306914955270,e,d
943669898831630336,e,d
943677754964357120,e,d
943736136223961088,e,d
945552154714140672,e,d
945591007978156032,e,d
945830509166383105,e,d
946030140621979648,e,d
946790530154934274,e,d
946989396884115456,e,d
948723812077580288,e,d
948737910924304384,e,d
948744252137332736,e,d
949071943101308928,e,a
963478392799625216,e,d
964318028635738112,e,d
965135149880012801,e,d
965457648706576384,e,d
965735131469176832,e,c
965802151112007681,e,d
965831930594975744,e,d
965846844692664320,e,d
965883485721452544,e,d
965883572258332672,e,b
966143031161360385,e,d
966143114770571264,e,d
966178715007967232,e,d
